class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
s_spine_neutral,0.578853726,0.459935576,-0.178820312,0.999752164,0.594528437,0.448642433,-0.173299402,0.99982959,0.594285727,0.447110564,-0.173491135,0.999831796,0.594070137,0.445299476,-0.173539698,0.999821723,0.590080559,0.448862255,-0.23929216,0.999837458,0.586314857,0.447606266,-0.239508986,0.999836683,0.582307875,0.446075141,-0.239496931,0.999852121,0.561880827,0.433297008,-0.0807925388,0.999753296,0.547069371,0.433229625,-0.384374589,0.999838352,0.552842259,0.461552203,-0.135647461,0.999769211,0.546661615,0.461122036,-0.220957905,0.999813557,0.469972789,0.415947497,0.111780122,0.999334157,0.381229877,0.453040183,-0.444142818,0.999665976,0.413463682,0.478792727,0.246406794,0.216820255,0.262119353,0.529149652,-0.275259256,0.91785121,0.439941496,0.495835483,0.139481381,0.338208348,0.426074982,0.511274099,0.116362453,0.837552011,0.465951115,0.491124213,0.127479598,0.349389881,0.446155757,0.502375782,0.121103756,0.809908032,0.466837317,0.486787856,0.0991822556,0.359371811,0.452320516,0.494243562,0.0872161835,0.818819523,0.455896586,0.485341311,0.123114303,0.356113493,0.445268333,0.4952268,0.115021184,0.80704087,0.20872131,0.463268101,0.194252908,0.999140441,0.143026233,0.476579249,-0.193436936,0.999758959,0.411323935,0.496491015,0.439234048,0.692251325,0.360769659,0.536465466,-0.388800204,0.992389798,0.271535188,0.561466277,0.648118079,0.756976187,0.262487948,0.645844996,-0.320224732,0.989175797,0.231492579,0.559036076,0.666574836,0.71918273,0.218330026,0.659919858,-0.313403398,0.976089478,0.302474141,0.597096443,0.656581521,0.806851566,0.332787931,0.69472158,-0.373113751,0.985341072
s_spine_neutral,0.590740144,0.410155296,-0.341653556,0.999726951,0.595270216,0.397049934,-0.327615291,0.999847353,0.594843507,0.39585501,-0.327727437,0.999851525,0.594417036,0.39450708,-0.32789126,0.999846101,0.590467155,0.397224158,-0.395630598,0.999856651,0.586483657,0.396206439,-0.395854115,0.999853849,0.582058609,0.394980699,-0.395755887,0.999869466,0.561486125,0.38843447,-0.203943089,0.999791801,0.543288469,0.38696751,-0.507432282,0.999845088,0.569613576,0.417333752,-0.284759372,0.999753952,0.564419508,0.417219728,-0.372391433,0.999779105,0.496522367,0.409284592,0.00990478043,0.999123931,0.380852014,0.418460906,-0.524687886,0.999379516,0.446497768,0.463265181,0.24340184,0.159585431,0.261588633,0.501874149,-0.305551827,0.900219977,0.479710639,0.461611569,0.294460505,0.265541673,0.419147104,0.479461491,0.149407119,0.81092608,0.489508003,0.46312356,0.309174061,0.281129569,0.441895604,0.477144539,0.154356956,0.781900883,0.487611145,0.45425874,0.275227636,0.29391697,0.449912935,0.466843218,0.12666969,0.790271163,0.480213255,0.455073357,0.282226473,0.292652875,0.443301827,0.466031075,0.148282886,0.776652813,0.210151657,0.441064835,0.191375419,0.999026239,0.140937373,0.4546009,-0.190517664,0.999731839,0.439049393,0.48106423,0.222629994,0.649059892,0.369879901,0.514072835,-0.388420016,0.993097484,0.319859892,0.572984576,0.319885552,0.717260659,0.264205903,0.645046771,-0.314106762,0.989201427,0.283789665,0.58366394,0.327150732,0.661629498,0.226546377,0.657086968,-0.305246979,0.975015521,0.35925591,0.611075461,0.285869122,0.773934603,0.334483117,0.695382833,-0.373156667,0.984979272
s_spine_neutral,0.572588325,0.146920413,-0.46899876,0.999880672,0.573965728,0.125409707,-0.442385197,0.999909461,0.573949218,0.123988055,-0.442747235,0.999919116,0.573505163,0.122485653,-0.443153977,0.999920368,0.561771274,0.124137804,-0.506922901,0.999908924,0.55319345,0.122075759,-0.50723201,0.999915183,0.543663144,0.119669497,-0.507332206,0.999919653,0.526472807,0.117141172,-0.263110161,0.99991554,0.492408156,0.114674725,-0.551852167,0.999905109,0.552770555,0.161782235,-0.394295931,0.99988085,0.538995385,0.157513306,-0.478851616,0.999894559,0.471095562,0.183792204,-0.0257361997,0.999319971,0.315425754,0.18417649,-0.574175835,0.999537408,0.496146023,0.2621364,0.219450697,0.448829651,0.265684724,0.306921065,-0.795184433,0.944975913,0.556779921,0.229764193,0.273449302,0.464620978,0.417719185,0.203020185,-0.932879567,0.903459072,0.583766401,0.210973576,0.297195107,0.406710684,0.441245556,0.176103756,-0.994287133,0.877538323,0.569760621,0.202745765,0.29571417,0.408934236,0.427410841,0.167087555,-1.001972795,0.880255044,0.550489426,0.206835702,0.274601489,0.394098282,0.425588191,0.175908327,-0.938708663,0.856290877,0.256446451,0.349418879,0.175523847,0.997523367,0.159075364,0.358576119,-0.174598157,0.99948889,0.366806805,0.468776643,0.431326807,0.797252715,0.312427133,0.483174741,-0.412964672,0.995137155,0.364612877,0.603328764,0.680497825,0.818070233,0.258772373,0.643729746,-0.450005054,0.992121994,0.333246112,0.617675066,0.697830439,0.75188446,0.21912016,0.665083528,-0.462458372,0.976983428,0.493458629,0.64189142,0.653005242,0.84064734,0.369002968,0.695395887,-0.618573189,0.986592591
s_spine_neutral,0.563577116,0.157546788,-0.483738422,0.999882698,0.564865589,0.136710048,-0.457015485,0.999882162,0.564586401,0.135471523,-0.457333505,0.999894917,0.5640589,0.133998305,-0.457654536,0.9998945,0.554829299,0.135013551,-0.536198616,0.99988395,0.54798609,0.132864207,-0.536464751,0.999894083,0.540856183,0.130520776,-0.536545455,0.999896109,0.520491779,0.129453942,-0.273109049,0.999899983,0.492524624,0.126551926,-0.614841402,0.999879956,0.544209361,0.170556217,-0.403375804,0.999852479,0.531287909,0.166931361,-0.511662781,0.999884486,0.463032275,0.19330579,-0.043733336,0.999289453,0.310439974,0.1932033,-0.629118502,0.99962008,0.510963976,0.268009514,0.0871554911,0.476607382,0.282695234,0.311469048,-0.811219275,0.950688183,0.562834978,0.218817636,-0.067652382,0.495035887,0.419287831,0.209112257,-0.755055308,0.926253021,0.582097471,0.19949922,-0.0893128589,0.426332295,0.443746477,0.185042232,-0.799598455,0.905950069,0.56802088,0.188748136,-0.0931827426,0.423512489,0.427296162,0.174436316,-0.816713214,0.906507134,0.552281678,0.194907755,-0.074151203,0.410496294,0.424588978,0.182371691,-0.759604216,0.88025099,0.264273256,0.355478138,0.18841809,0.996332228,0.165826932,0.363400966,-0.187495276,0.999371469,0.381227225,0.473365545,0.397620231,0.772538424,0.294337183,0.486445278,-0.419928968,0.994012475,0.354520977,0.601490915,0.630995214,0.789372325,0.241066977,0.643613279,-0.394218475,0.989695728,0.330364764,0.617109239,0.647609472,0.727191806,0.193714455,0.666232824,-0.401422471,0.96809423,0.488725752,0.64171952,0.591862738,0.822999358,0.332679242,0.700714946,-0.569745362,0.981765389
s_spine_neutral,0.579106987,0.414148569,-0.166554078,0.999601185,0.593653202,0.400882423,-0.152463213,0.999701738,0.593683898,0.399152845,-0.152684107,0.999725819,0.593740225,0.397164047,-0.152824059,0.999742746,0.589653373,0.400946051,-0.23126179,0.999679267,0.586976409,0.399575979,-0.231532454,0.999689102,0.584336877,0.398032933,-0.231611058,0.999737442,0.562533319,0.383236855,-0.0398533195,0.999757349,0.552476466,0.384296507,-0.394406796,0.99969542,0.556548655,0.415803432,-0.11272756,0.999681473,0.552033544,0.415229708,-0.215493441,0.999696016,0.474878609,0.374496758,0.200657934,0.999183774,0.377066076,0.411646426,-0.52021122,0.999514341,0.494383633,0.419733196,0.45714134,0.27798751,0.277819902,0.49902305,-0.34823367,0.934641242,0.559696555,0.405171216,0.541131318,0.250477076,0.420911312,0.465807378,0.113738939,0.81897527,0.579887629,0.396085501,0.551873028,0.231771782,0.438939154,0.467584848,0.121036924,0.780746639,0.570397079,0.394943357,0.5377267,0.235351041,0.444909513,0.453679323,0.0830158368,0.792750657,0.562627912,0.397754014,0.530070424,0.24034515,0.435436875,0.453583807,0.112999558,0.768768251,0.217570961,0.4524104,0.241222173,0.998215914,0.142304033,0.459369957,-0.240436465,0.999588728,0.443529904,0.4766303,0.452455848,0.741376817,0.361093104,0.521593034,-0.553818464,0.990782261,0.347440749,0.58267802,0.712317348,0.763682783,0.267922163,0.643947005,-0.595766485,0.989881158,0.300965577,0.60330832,0.734611154,0.714508235,0.224458992,0.659360528,-0.60135895,0.977250695,0.393078566,0.617480755,0.678957343,0.802302599,0.347247064,0.690384269,-0.761583686,0.985077918
s_spine_neutral,0.569784999,0.171467453,-0.382123828,0.999828875,0.573713779,0.151715159,-0.356006145,0.999891102,0.573480189,0.150251016,-0.356382072,0.999900937,0.572873175,0.148609027,-0.356768072,0.999907911,0.564080119,0.150353566,-0.421265185,0.99988842,0.557629704,0.148076966,-0.421512634,0.999889195,0.550719917,0.145526499,-0.421516746,0.999903381,0.530188441,0.142684326,-0.182418972,0.999906659,0.503470063,0.138861954,-0.466985077,0.999893546,0.547558427,0.184010312,-0.311441571,0.999877989,0.537049234,0.180836707,-0.39646107,0.999886453,0.4624632,0.203170389,0.01532315,0.999185562,0.319244474,0.200501353,-0.464979261,0.999443114,0.53271246,0.280961931,0.015952006,0.4496333,0.260736555,0.322169751,-0.594718456,0.935793221,0.571895897,0.216811746,-0.174225852,0.370382607,0.419137418,0.221099451,-0.577783346,0.857432544,0.590092003,0.19414176,-0.199075684,0.319842398,0.438454777,0.194968015,-0.615956604,0.825050116,0.573040605,0.185704723,-0.156847015,0.321292698,0.427517116,0.189335525,-0.628670394,0.830343544,0.555982113,0.192029148,-0.163499489,0.317534059,0.425334901,0.196812049,-0.580531538,0.805536211,0.24795486,0.361486971,0.173329309,0.997837782,0.157389656,0.36968258,-0.172227189,0.999435306,0.394703507,0.471927583,0.339834809,0.829620898,0.330995888,0.487189829,-0.421624333,0.994864106,0.36989516,0.602781653,0.551594019,0.82332623,0.25866279,0.644084156,-0.422833771,0.993341804,0.34349677,0.614462495,0.567163467,0.759323776,0.220812052,0.661783338,-0.430118173,0.980394006,0.49451685,0.643860161,0.535730302,0.843542159,0.365221232,0.694244385,-0.559435844,0.988211334
s_spine_neutral,0.560864925,0.145392746,-0.486080378,0.999838412,0.561449289,0.124772571,-0.460365891,0.999845326,0.561010957,0.123415612,-0.460689068,0.999860704,0.560045779,0.121787749,-0.461081386,0.999861121,0.549254119,0.123464644,-0.534315586,0.999848664,0.540986657,0.121410146,-0.53458643,0.999864936,0.532789767,0.119263187,-0.534750581,0.99987185,0.515939415,0.11782074,-0.280378312,0.999883235,0.484832287,0.115389846,-0.612564445,0.999849677,0.540947139,0.159368023,-0.41011101,0.999806225,0.527766347,0.156090289,-0.507461309,0.999849379,0.458608806,0.181336969,-0.0269405413,0.999099135,0.305957288,0.181802273,-0.648692906,0.999504507,0.485177606,0.259184688,0.303982615,0.413949221,0.274826616,0.294394165,-0.884386897,0.943784297,0.534744561,0.203214139,0.436807364,0.427541971,0.40660128,0.187568516,-1.024347663,0.902301908,0.558320463,0.183763549,0.479989082,0.378324509,0.426323116,0.167663336,-1.08622098,0.880265653,0.549895585,0.175319582,0.488672465,0.377190858,0.416451573,0.151329368,-1.094663978,0.88251245,0.535976052,0.18433547,0.444477051,0.368443608,0.413036883,0.161179155,-1.030251622,0.857659161,0.266170621,0.356545001,0.188262388,0.996874034,0.167822182,0.361819416,-0.187607676,0.999361336,0.384100169,0.472703844,0.442846477,0.784820199,0.285779268,0.492355436,-0.432490528,0.993104815,0.353277385,0.602947354,0.770437479,0.791059077,0.245206431,0.644814253,-0.361175269,0.989872158,0.325049728,0.616736531,0.795481205,0.74102515,0.202649802,0.666853964,-0.36510396,0.970569193,0.488780648,0.640958011,0.744033575,0.820399046,0.332136422,0.698824406,-0.544515073,0.981417418
s_spine_neutral,0.58405751,0.415795386,-0.276381314,0.9996292,0.593182266,0.403449446,-0.264457524,0.999753416,0.592760861,0.402023137,-0.264622569,0.999781609,0.592129111,0.400255829,-0.264753968,0.999789357,0.5892694,0.403551519,-0.341366947,0.999729276,0.586202085,0.402289331,-0.34171021,0.999737561,0.582917213,0.400614917,-0.341792941,0.999769449,0.559790134,0.389402807,-0.129191056,0.999790192,0.548300445,0.388614237,-0.479326338,0.99974227,0.562502563,0.419724137,-0.212249413,0.999701262,0.557208538,0.419302851,-0.312284023,0.999723136,0.479624122,0.392817974,0.143571854,0.999029517,0.379481137,0.413037837,-0.560119092,0.999408662,0.455818087,0.451042563,0.358021468,0.235947266,0.273885339,0.498532146,-0.336432397,0.895894527,0.541580796,0.427831024,0.400914073,0.221254721,0.415323943,0.46390304,0.207791746,0.75284332,0.561110795,0.415958494,0.417007416,0.20733048,0.4353019,0.460403204,0.234601915,0.719246924,0.560221791,0.412582695,0.417580664,0.210735142,0.41284281,0.449120283,0.197817504,0.730233133,0.54798162,0.418483824,0.397703677,0.216286361,0.428412497,0.448885769,0.210452676,0.716717184,0.206404045,0.453788936,0.233289957,0.998256683,0.131598353,0.457393318,-0.232316509,0.999569595,0.435740143,0.473534435,0.306035936,0.747461438,0.356633306,0.508180916,-0.605334103,0.989745259,0.340194643,0.584962547,0.458517462,0.762435555,0.265652627,0.647557378,-0.696008027,0.989505827,0.295439452,0.603802621,0.468961537,0.703494728,0.225272775,0.664406061,-0.705409944,0.97605747,0.378809601,0.620421171,0.382711142,0.802078366,0.347616166,0.691260219,-0.870921433,0.984962702
s_spine_neutral,0.556423843,0.146312669,-0.443554312,0.999843776,0.557534933,0.12599574,-0.417369843,0.999901354,0.557154596,0.12485081,-0.417788059,0.99991405,0.556424439,0.123651884,-0.418185085,0.999918044,0.547590196,0.124768257,-0.480930001,0.999894619,0.540040672,0.122713462,-0.481207162,0.999897778,0.532084942,0.12060298,-0.481283009,0.999902487,0.514027476,0.121102527,-0.241863489,0.999914825,0.481146693,0.117962085,-0.526860237,0.999891996,0.534671307,0.161889777,-0.370895475,0.999877393,0.522777438,0.158211887,-0.45390147,0.9998734,0.45397982,0.191963822,-0.0241900161,0.999277115,0.310384929,0.188200146,-0.542160153,0.999326169,0.520674586,0.268008292,-0.0092431223,0.576260448,0.268680692,0.30666858,-0.714573145,0.943704844,0.55761826,0.218945116,-0.211800739,0.538032711,0.418353111,0.208631635,-0.800275922,0.890977144,0.573978364,0.200881213,-0.238085806,0.457661033,0.445824176,0.182959095,-0.856863499,0.859535098,0.550059617,0.19032234,-0.204589307,0.458242476,0.426904172,0.175155059,-0.868067265,0.862060368,0.535630822,0.196534783,-0.203676224,0.44344753,0.423565716,0.183410972,-0.805924535,0.834848583,0.247446656,0.358083218,0.173631594,0.997891009,0.145752206,0.364679992,-0.172598436,0.999476016,0.369884819,0.468634903,0.448878437,0.83455056,0.288792253,0.488604724,-0.508990705,0.995484769,0.378534704,0.600198925,0.768158138,0.833249092,0.251732349,0.646473765,-0.509306908,0.993647933,0.337176949,0.620114803,0.792179525,0.759813547,0.216464534,0.666096866,-0.520900667,0.979339659,0.50109899,0.639155984,0.737871885,0.85656482,0.354009002,0.697958887,-0.704824328,0.989008665
s_spine_neutral,0.55404985,0.139033094,-0.553311408,0.999810815,0.553068697,0.118438445,-0.529289782,0.999795556,0.552810848,0.116928697,-0.529604077,0.999818265,0.551998436,0.115060724,-0.529996336,0.999810457,0.539585054,0.117138788,-0.599394739,0.999801636,0.530851901,0.114995793,-0.599648178,0.999825776,0.522282302,0.112798333,-0.599805653,0.999825597,0.509521425,0.110415518,-0.346737027,0.99983567,0.472019523,0.108817004,-0.662995934,0.999798894,0.534163356,0.153682321,-0.475342304,0.999749482,0.519457996,0.150512248,-0.567809105,0.999799073,0.465250939,0.177224368,-0.086504668,0.999080241,0.300800651,0.177504942,-0.67005533,0.999492049,0.486344367,0.256860375,0.185550034,0.517272472,0.281608313,0.291296542,-0.867340147,0.947182119,0.539005399,0.200183555,0.185096651,0.557644188,0.405859828,0.180889964,-0.979607701,0.923507452,0.557914972,0.180518478,0.19768098,0.480263501,0.421420336,0.151875928,-1.040342093,0.901984215,0.544187307,0.17246832,0.21784687,0.476791352,0.412057608,0.145242244,-1.053399801,0.902480781,0.531368494,0.180787459,0.193771154,0.459337592,0.409969956,0.15530026,-0.987078846,0.876332998,0.265221536,0.353725374,0.181099877,0.996955156,0.158656761,0.359398037,-0.180591241,0.999531269,0.369772732,0.471374273,0.60394156,0.785454273,0.263343483,0.488423109,-0.416516989,0.994344115,0.358308405,0.60104382,1.06392169,0.807055175,0.244983777,0.646316648,-0.369464993,0.991580188,0.335005552,0.614314914,1.104143143,0.749876797,0.203266248,0.667080998,-0.375864714,0.973352671,0.494168967,0.63906765,1.068037391,0.837716341,0.336153805,0.700746179,-0.568834841,0.984780312
s_spine_neutral,0.570623338,0.397323966,-0.271506578,0.99977535,0.57722491,0.383248389,-0.2583884,0.999813974,0.576894224,0.38184911,-0.258612305,0.999840915,0.576662123,0.380175531,-0.258778989,0.999839425,0.573349178,0.383339912,-0.341543823,0.999801815,0.570563614,0.382204503,-0.341876388,0.999807298,0.567707956,0.380815327,-0.341905445,0.999811471,0.545495629,0.368496239,-0.123771697,0.999836445,0.533109725,0.368798107,-0.490974247,0.999812543,0.553077161,0.401269823,-0.206540361,0.999818087,0.548002899,0.40085569,-0.313386381,0.99982357,0.444485545,0.374882758,0.139971942,0.99952507,0.356872439,0.402882904,-0.579536557,0.999406457,0.481831729,0.432316393,0.305643648,0.482635379,0.266532212,0.496155262,-0.351880789,0.918085635,0.529737532,0.404825747,0.224281058,0.393355966,0.393334538,0.453574955,0.177263275,0.794192493,0.545604944,0.398899555,0.214808404,0.334735721,0.403517306,0.448888391,0.193187013,0.757256269,0.538760602,0.393713772,0.205441669,0.339073181,0.409171373,0.438980162,0.148677573,0.768704832,0.520523608,0.403972477,0.21426338,0.343420714,0.407588691,0.439992815,0.176151603,0.747859359,0.204558209,0.445530832,0.235378653,0.998653769,0.126890033,0.456471503,-0.234492213,0.999696016,0.428628206,0.469808161,0.256307751,0.78408879,0.338092059,0.51834619,-0.562729597,0.99000299,0.353282005,0.58708632,0.377364278,0.80592078,0.266887009,0.643793702,-0.613759756,0.988262951,0.319442898,0.600749135,0.386686534,0.752369106,0.227569982,0.659648895,-0.620824695,0.973358274,0.434916168,0.615462899,0.313235313,0.827559114,0.350037247,0.68694675,-0.778111756,0.982987463
