class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
d_correct,0.5920555,0.387001812,0.761125445,0.976802111,0.585143209,0.381294549,0.735319436,0.980862498,0.582940638,0.38218683,0.735262156,0.978956521,0.580980837,0.383048743,0.735202849,0.982314646,0.59468466,0.377401501,0.746477783,0.985275328,0.598863304,0.375835657,0.746457815,0.9834584,0.602875412,0.374325544,0.746384323,0.984173119,0.587566376,0.383946419,0.592925429,0.983047426,0.613316,0.373368233,0.65107733,0.985058069,0.597096801,0.39406544,0.712221503,0.982665181,0.609438241,0.38879773,0.728277087,0.984220743,0.590908289,0.417006314,0.337654859,0.999920547,0.689234078,0.38974306,0.617566884,0.997996926,0.579238534,0.492513984,0.215966284,0.969549954,0.740310311,0.451624453,0.584517539,0.0110379038,0.56468904,0.565825164,0.194087684,0.929829776,0.773236513,0.519423366,0.487946242,0.0788143501,0.566757977,0.581029296,0.153173581,0.881564617,0.777099967,0.533996224,0.467221379,0.11250817,0.566181064,0.582415104,0.191294074,0.866566896,0.750165045,0.548101366,0.458967984,0.109198943,0.569199204,0.577615619,0.208476961,0.815642834,0.761808336,0.534293234,0.481233507,0.0989684239,0.786543369,0.452836424,-0.124893159,0.999925733,0.865429342,0.434232086,0.124546304,0.999863267,0.625757396,0.52199316,0.00212879223,0.994512677,0.771991551,0.510860443,0.327795088,0.755529404,0.651434302,0.631084561,0.133310303,0.977413714,0.76616466,0.610073566,0.475703776,0.893660009,0.671685338,0.653589308,0.154580668,0.95834887,0.78430438,0.623237967,0.491055161,0.909689248,0.588401437,0.644509375,0.169379979,0.901290596,0.728158474,0.618135989,0.480577171,0.840292394
d_correct,0.587373376,0.376646698,0.683135867,0.983088672,0.581771493,0.369854331,0.658460081,0.9853127,0.579841256,0.369755298,0.658415079,0.983649135,0.578125775,0.369577318,0.658403993,0.985691249,0.590330422,0.36770308,0.676722586,0.989305556,0.594318509,0.366259694,0.676672697,0.98857224,0.598215103,0.364757448,0.676560581,0.98929131,0.58427757,0.368998557,0.533801854,0.984329939,0.610308468,0.362754107,0.621160865,0.990043402,0.592229187,0.382358015,0.640901089,0.985778511,0.603564322,0.379637361,0.665758193,0.988629818,0.590048313,0.402469456,0.283392936,0.999921381,0.691514492,0.378834099,0.606612623,0.998196423,0.576357663,0.474810511,0.115650326,0.975002885,0.762586534,0.442408621,0.544197857,0.00752256159,0.565284431,0.547729731,0.0245312154,0.936175585,0.810134113,0.498630226,0.415582031,0.0750278011,0.57014358,0.563060641,-0.0266701933,0.89539659,0.822037339,0.512417734,0.390954584,0.111422271,0.5681234,0.563929737,0.0135693951,0.880288303,0.815535247,0.511656642,0.377517223,0.108242899,0.56922698,0.558420122,0.0386467241,0.837499619,0.790402532,0.510309815,0.406772405,0.0985475853,0.787221074,0.443417698,-0.137169927,0.99992466,0.864698112,0.429973513,0.13670978,0.999859273,0.622404337,0.518775582,-0.00539194141,0.993579149,0.756561458,0.50678122,0.285106987,0.667591691,0.650415778,0.630385697,0.114563644,0.968082249,0.723714113,0.60997355,0.400278777,0.827458322,0.662876725,0.651235461,0.134315789,0.942897022,0.746012568,0.609173536,0.409665734,0.857567608,0.582092702,0.645118833,0.139663517,0.876760304,0.69469589,0.614433169,0.39822188,0.798012137
d_correct,0.60337925,0.289000094,0.876912534,0.977582216,0.599490285,0.280127823,0.851039946,0.982492745,0.597361743,0.279802501,0.851017594,0.980467916,0.595511794,0.279452741,0.850963354,0.983722091,0.609620094,0.279413909,0.869313836,0.985743165,0.614659369,0.278628528,0.86932528,0.984025002,0.620053351,0.27782014,0.869289398,0.986689687,0.603681624,0.280750394,0.687587738,0.984745383,0.636944532,0.277314514,0.77578032,0.987969458,0.60658884,0.296659768,0.819437146,0.985416234,0.619661987,0.294248015,0.844681203,0.987914622,0.583492756,0.322573841,0.408196777,0.999916494,0.72149384,0.307791322,0.733735919,0.997814834,0.56158179,0.399781406,0.25936085,0.983321249,0.757255733,0.382794917,0.695299983,0.0114318039,0.552530825,0.478348166,0.283861786,0.916303277,0.772119582,0.451703876,0.575842083,0.0761371553,0.547561109,0.495359331,0.241229072,0.862549007,0.776821673,0.465863705,0.558844388,0.110864483,0.549670517,0.496820122,0.289354384,0.842261672,0.771617472,0.469167233,0.53834635,0.107103392,0.5552001,0.490487427,0.303841561,0.785603464,0.76573807,0.46336776,0.565316141,0.0971889868,0.758385956,0.401416719,-0.124292098,0.999901593,0.849949241,0.401033401,0.124409296,0.999857128,0.653431535,0.514694035,0.00920091942,0.99181819,0.801328123,0.510875285,0.259529501,0.793067992,0.644526601,0.627132297,0.146532908,0.964883864,0.783922315,0.625656128,0.358814836,0.873119593,0.658114016,0.64956224,0.165295333,0.94855082,0.79923147,0.65171212,0.36982125,0.913276136,0.565828264,0.635022104,0.151700154,0.870136619,0.743687212,0.628615022,0.33119455,0.8326177
d_correct,0.704687178,0.148773625,0.440766513,0.995209277,0.700907648,0.13934961,0.365987301,0.995613039,0.695389211,0.139568388,0.365990698,0.995879531,0.689732254,0.140000656,0.366054058,0.996099293,0.717532754,0.139428258,0.389369577,0.99563539,0.724153638,0.139557004,0.389361143,0.995788276,0.730938494,0.139903784,0.389254123,0.99568361,0.684279382,0.146082804,0.0895576775,0.996793091,0.741866112,0.146474093,0.187147304,0.99648875,0.695128322,0.158821911,0.352458328,0.99661845,0.714500248,0.158986226,0.380033195,0.996557832,0.622511327,0.207336694,-0.117308922,0.999935091,0.815306962,0.220541045,0.16359584,0.997582734,0.583666384,0.304615349,-0.152517453,0.994337559,0.82393223,0.303959608,0.262743264,0.244734183,0.556849122,0.381229877,0.00286394847,0.961858034,0.781710386,0.352248341,0.448632807,0.0717899203,0.555091798,0.403307736,-0.0049567651,0.9200899,0.776348174,0.383921325,0.482197732,0.0784605667,0.557840765,0.401165664,0.0126971472,0.910069704,0.75689137,0.370936096,0.463917583,0.075696975,0.561818004,0.394224823,0.0151625173,0.859553874,0.755573213,0.358428389,0.44433102,0.0791999325,0.682893455,0.387939364,-0.0960842222,0.999812067,0.78360343,0.386514753,0.0957532004,0.999525011,0.665100336,0.516420662,-0.00863830466,0.994591355,0.758320212,0.51116395,0.229933485,0.949710846,0.658047974,0.638107538,0.0939040259,0.988711894,0.787795067,0.630358338,0.359823436,0.959267735,0.681550026,0.65945226,0.103220709,0.98469764,0.790396273,0.648609757,0.370874703,0.964270949,0.582262337,0.644630134,0.0423222594,0.923103273,0.750334859,0.640704513,0.323895186,0.838902593
d_correct,0.716225207,0.14686884,0.293681592,0.998649061,0.713820994,0.136261255,0.216470003,0.998651624,0.70984149,0.13624233,0.216415361,0.998761654,0.706207752,0.136337712,0.216445625,0.998746157,0.72761333,0.13626273,0.250708759,0.9986099,0.73328656,0.136382475,0.250705898,0.998693287,0.73913455,0.136678159,0.25051862,0.998575568,0.710195184,0.141556591,-0.052736897,0.998946667,0.755219579,0.142877012,0.0964503214,0.998695135,0.71152097,0.156150892,0.208900794,0.998904824,0.725806594,0.156874344,0.251762837,0.998784781,0.650731087,0.201228335,-0.248542279,0.999942541,0.842835307,0.219576597,0.103361636,0.999016762,0.596617997,0.290516555,-0.269909471,0.996305645,0.845997691,0.306115687,0.126152173,0.677765608,0.561699271,0.366563499,-0.150176316,0.965780258,0.818649292,0.37902683,0.15765889,0.393508047,0.55225265,0.392005861,-0.164689556,0.92154479,0.811766207,0.399247587,0.170329571,0.327395976,0.5598647,0.389952391,-0.157194138,0.914923489,0.799499691,0.395730585,0.144744709,0.313538134,0.570999026,0.381471932,-0.139402568,0.875551879,0.798286021,0.387842,0.146768659,0.29368487,0.678722322,0.381698549,-0.143033862,0.999738693,0.779066145,0.384549558,0.142570511,0.999259651,0.648961604,0.514983356,-0.0390557945,0.992652893,0.758129537,0.509644032,0.279588372,0.949445903,0.653597116,0.636039376,0.0778170973,0.990415156,0.790323913,0.627113521,0.403107017,0.958382189,0.672456801,0.658189833,0.0860457718,0.9894256,0.791043937,0.644990206,0.414866924,0.955358922,0.579698324,0.642973006,0.00612640427,0.938232243,0.745314956,0.636252165,0.365578413,0.844092131
d_correct,0.630465865,0.228243753,0.440132827,0.998669147,0.629182458,0.218078688,0.38271606,0.998378873,0.627186775,0.217763931,0.382692516,0.998737752,0.625017345,0.217534736,0.382701397,0.998485744,0.639162362,0.216906354,0.417866737,0.997842729,0.644499898,0.215769738,0.417896092,0.998137951,0.650156319,0.214717031,0.417622238,0.997539103,0.633387864,0.217268825,0.152172551,0.998331904,0.667395532,0.21348384,0.307759404,0.997275591,0.632340908,0.234643579,0.363394171,0.997519433,0.644506574,0.233264133,0.408322394,0.99672842,0.614012361,0.25657025,-0.0424782746,0.999925971,0.781701684,0.257305324,0.294090956,0.998530388,0.593857825,0.331401736,-0.08694648,0.98866719,0.787153542,0.325365156,0.374473572,0.38529411,0.567741036,0.412843287,0.0421849564,0.928516209,0.725709617,0.372303456,0.485051006,0.137781054,0.56459862,0.434568465,0.0299891625,0.882349908,0.717931688,0.383471221,0.522407472,0.119871706,0.567568362,0.433635384,0.0448440649,0.875910938,0.705496132,0.384003103,0.50309068,0.114653148,0.573209226,0.426256597,0.0533346161,0.815868556,0.706112027,0.379311413,0.480353296,0.111758597,0.717737436,0.405192912,-0.0995682329,0.999740481,0.816527724,0.39860332,0.0988358185,0.999254465,0.654173374,0.519112051,-0.0762063265,0.993237436,0.779975355,0.513349116,0.188600749,0.955066502,0.654622972,0.63556993,-0.0598054081,0.98881191,0.784843683,0.623727143,0.208639354,0.947007716,0.676738083,0.657418013,-0.0559719093,0.988762617,0.787019014,0.646683276,0.210587338,0.938544571,0.584299147,0.639839947,-0.0979030058,0.926427543,0.755003929,0.633011162,0.161734179,0.733193696
d_correct,0.58960402,0.334084719,0.74967134,0.996033251,0.586551964,0.324082524,0.721376896,0.996317148,0.585184932,0.323803723,0.721438169,0.996002614,0.583899021,0.323625743,0.721426845,0.996761978,0.593974531,0.322484791,0.750298798,0.996391892,0.598059595,0.321092904,0.750313878,0.996018291,0.602520764,0.319793999,0.750294924,0.996434748,0.594017565,0.323699415,0.559158564,0.995281577,0.623582542,0.31751591,0.692858815,0.99573487,0.594460547,0.340788186,0.695421278,0.994959772,0.604680896,0.338478774,0.733680964,0.995056808,0.584536374,0.357042789,0.299315512,0.999958694,0.710307956,0.343080252,0.675110877,0.998876691,0.571936309,0.432863086,0.129445538,0.973871708,0.769365609,0.407384783,0.612684727,0.0652671456,0.570547044,0.512072444,0.122651204,0.916118383,0.795020401,0.479920954,0.508804321,0.0497522615,0.571839988,0.530394137,0.076570496,0.858721972,0.806682587,0.494883597,0.493951172,0.0528978705,0.574736416,0.530326724,0.12526232,0.840616703,0.796211302,0.497668356,0.477525294,0.0489236303,0.578618407,0.523864448,0.142784238,0.760042906,0.790440381,0.491889894,0.49986577,0.0513481125,0.767172575,0.425220549,-0.137690321,0.999906003,0.858942091,0.419821501,0.137453645,0.999695063,0.646532297,0.522156417,-0.0657284856,0.991402686,0.801249683,0.514601111,0.372429579,0.886512399,0.654429913,0.631161332,-0.044234857,0.986400843,0.791007757,0.616606474,0.455047607,0.920930445,0.674943209,0.655089855,-0.0351647213,0.97557658,0.807932019,0.645247519,0.463500679,0.937988818,0.577741504,0.638688326,-0.0352159403,0.913217485,0.746187091,0.615045309,0.451617509,0.770315588
d_correct,0.599218547,0.378274351,0.769472003,0.970793188,0.593409419,0.371864378,0.747688353,0.975235581,0.59112674,0.372647911,0.747623682,0.973426044,0.588865459,0.373394102,0.7475757,0.976887047,0.603220046,0.368450701,0.75394541,0.979607582,0.60754776,0.367036372,0.753896952,0.977696657,0.612068713,0.365600735,0.753838181,0.978447318,0.593467355,0.374428391,0.613691509,0.975204289,0.623721838,0.365224034,0.655972958,0.97801739,0.602803409,0.385410964,0.726748049,0.976590335,0.615569532,0.380725771,0.736323059,0.977992892,0.5904966,0.405601919,0.349483967,0.999915779,0.698642671,0.386429369,0.621421158,0.997813523,0.575367272,0.478751332,0.214165896,0.96579212,0.753303885,0.44887656,0.578843355,0.0181321967,0.571216345,0.55509305,0.173211917,0.917478085,0.804671407,0.517590165,0.475184023,0.0882101208,0.576078355,0.570305228,0.126078278,0.865873635,0.813272715,0.535473287,0.453552574,0.122207753,0.575434446,0.571526647,0.163462862,0.848871112,0.81197536,0.536609113,0.445464998,0.120473668,0.577992201,0.565996051,0.187091887,0.791538119,0.80545181,0.530054688,0.469373196,0.109058343,0.786812901,0.441121995,-0.129254967,0.999889135,0.868495345,0.433172852,0.128945753,0.999805748,0.635681927,0.518022895,0.042342063,0.992158115,0.765873551,0.524501145,0.2746301,0.761797428,0.646759689,0.629241645,0.219070435,0.972405016,0.757734597,0.611645937,0.401152492,0.894755304,0.668789446,0.652753472,0.245223701,0.95577991,0.768761694,0.627763689,0.405372322,0.917311549,0.577693701,0.640971541,0.269109577,0.898546398,0.711610317,0.627008796,0.394055039,0.840887606
d_correct,0.596649349,0.384937584,0.682522118,0.983528435,0.590257704,0.37880224,0.657398939,0.985111415,0.587963879,0.379578501,0.657342255,0.983781576,0.585755348,0.380307376,0.657302439,0.985634804,0.599684715,0.375558674,0.680495679,0.988334656,0.60386765,0.374298424,0.680453122,0.98762387,0.607917309,0.373041928,0.680331111,0.988052845,0.590284526,0.381107211,0.523754776,0.983773768,0.61875993,0.372006476,0.629213333,0.988113463,0.600692093,0.392048389,0.635887027,0.985757768,0.613166869,0.387482792,0.666722417,0.987722993,0.59192884,0.413063705,0.261809826,0.999935508,0.695153177,0.392047524,0.610423744,0.998337686,0.57993722,0.486620367,0.145835727,0.975322485,0.761804521,0.456410408,0.603020847,0.0105064595,0.571554005,0.562078655,0.116954677,0.940818191,0.797622859,0.518722773,0.544929564,0.0955689102,0.575756609,0.576529503,0.0774019286,0.900378764,0.80400002,0.532118797,0.539717734,0.133499876,0.573321998,0.57890147,0.118570358,0.885984898,0.796904266,0.535296082,0.518984258,0.132372305,0.575744867,0.573285401,0.133766741,0.844504058,0.791183412,0.529330313,0.534808159,0.119347118,0.797133863,0.447781861,-0.136805803,0.999924541,0.87211144,0.436626107,0.136323422,0.999875009,0.630446732,0.520760477,0.00556149287,0.991876304,0.762567461,0.520535409,0.243557766,0.709485233,0.651490927,0.631595314,0.0968245268,0.964779198,0.745504618,0.608458459,0.289973438,0.857635558,0.66665709,0.65306294,0.115608826,0.940388143,0.749371529,0.616132915,0.295265943,0.887864947,0.580908895,0.644341588,0.126299143,0.879982054,0.700372577,0.624213338,0.27463302,0.833416879
d_correct,0.600139439,0.349382877,0.728946745,0.989222527,0.595189035,0.341286302,0.703401804,0.98989749,0.59272933,0.341231823,0.703341782,0.98880291,0.590297699,0.34119907,0.703308165,0.989700258,0.6051085,0.339557052,0.722196043,0.992656171,0.609094679,0.338417947,0.722166955,0.992557585,0.612685978,0.337287754,0.722118735,0.993098557,0.593649447,0.343128264,0.571683168,0.987196088,0.62359494,0.337632775,0.663198829,0.993532836,0.602711678,0.357165545,0.68564111,0.990090013,0.614826202,0.354711473,0.711456239,0.992575169,0.588095367,0.378212392,0.320239186,0.999934018,0.708240151,0.361024916,0.657171071,0.998509943,0.575724065,0.455051333,0.201870933,0.981849849,0.781631052,0.426821053,0.60264045,0.00781176193,0.568429589,0.529210746,0.198722094,0.950834751,0.840888977,0.488924563,0.49128741,0.0873998776,0.571265757,0.546361864,0.155968338,0.920240402,0.853722155,0.503689349,0.476588279,0.126371726,0.570026755,0.546215653,0.200762913,0.906323671,0.847933888,0.5035972,0.462441206,0.123173639,0.572926104,0.541346967,0.217775106,0.870693862,0.83970356,0.497894347,0.484019637,0.112271637,0.785091639,0.431341827,-0.141288906,0.999916136,0.867135108,0.421235383,0.141005173,0.999867916,0.640915275,0.520842135,0.014966812,0.990857244,0.773788631,0.519580901,0.298455864,0.660969019,0.649439156,0.631626248,0.162966311,0.957180321,0.771137834,0.61550802,0.427932918,0.795219898,0.663405299,0.654049397,0.185618252,0.927698135,0.785135746,0.634310722,0.443245113,0.838641286,0.574855566,0.641640127,0.196455419,0.871224046,0.716529012,0.619857073,0.433986694,0.799813509
